airport_qid,airport,country_qid,country,administrative_entity_qid,administrative_entity,latitude,longitude,iata_code,icao_code,hub_qid,hub,hub_latitude,hub_longitude,replaced_by_qid,replaced_by_icao_code
Q1164127,RAF Coningsby,Q145,United Kingdom,Q21,England,53.093055555556,-0.16611111111111,QCY,EGXC,NA,NA,NA,NA,NA,
Q1348234,Eindhoven Airport,Q55,Netherlands,Q9832,Eindhoven,51.450556,5.374167,EIN,EHEH,Q9832,Eindhoven,51.434444444444,5.4841666666667,NA,
Q1862533,IJmuiden Heliport,Q55,Netherlands,Q282461,IJmuiden,52.47,4.595,NA,EHYP,NA,NA,NA,NA,NA,
Q9249099,Dímun,Q4628,Faroe Islands,NA,NA,61.6848,-6.7562,NA,EKSR,NA,NA,NA,NA,NA,
Q478620,Aalborg Airport,Q35,Denmark,Q300856,Aalborg Municipality,57.092777777778,9.8491666666667,AAL,EKYT,Q25410,Aalborg,57.05,9.9166666666667,NA,
Q2900393,Andøya Airport,Q20,Norway,Q113710,Andøy,69.2925,16.144166666667,ANX,ENAN,Q167305,Andenes,69.313888888889,16.118055555556,NA,
Q17750201,"Bergen Heliport, Grønneviksøren",Q20,Norway,NA,NA,60.38,5.34611,NA,ENBG,Q26793,Bergen,60.3925,5.3233333333333,NA,
Q39164,Bodø Airport,Q20,Norway,Q221119,Bodø,67.269166666667,14.365277777778,BOO,ENBO,Q39383,Bodø,67.28267,14.37513,NA,
Q619980,Bergen Airport,Q20,Norway,Q10428388,Bergen Municipality,60.293611111111,5.2180611111111,BGO,ENBR,Q26793,Bergen,60.3925,5.3233333333333,NA,
Q18618912,"Ål Heliport, Medical Center",Q20,Norway,NA,NA,60.63,8.566,NA,ENDB,Q113538,Ål,60.675555555556,8.5769444444444,NA,
Q2088518,Bardufoss Airport,Q20,Norway,Q488955,Målselv,69.055833333333,18.540277777778,BDU,ENDU,Q488955,Målselv,68.975,19.064444444444,NA,
Q1431455,Harstad/Narvik Airport,Q20,Norway,Q48897,Evenes,68.4913,16.678108333333,EVE,ENEV,Q62140,Harstad,68.79878,16.53927,NA,
Q5511726,"Førde Airport, Øyrane",Q20,Norway,Q8079308,Øyrane,61.45777778,5.83388889,FDE,ENFD,Q113571,Førde,61.443055555556,5.9036111111111,Q2673196,
Q210559,Oslo Airport,Q20,Norway,Q57862,Nannestad,60.19392,11.10036,OSL,ENGM,Q585,Oslo,59.911111111111,10.752777777778,NA,
Q1769942,Farsund Airport,Q20,Norway,Q490462,Farsund,58.100277777778,6.625,FAN,ENLI,Q490462,Farsund,58.082777777778,6.7527777777778,NA,
Q2763148,"Lakselv Airport, Banak",Q20,Norway,Q483885,Porsanger,70.066666666667,24.973888888889,LKL,ENNA,Q531041,Lakselv,70.05132,24.96438,NA,
Q2096315,Ørland Airport,Q20,Norway,Q2449403,Brekstad,63.699166666667,9.6038888888889,OLA,ENOL,Q308245,Ørland,63.708888888889,9.6105555555556,NA,
Q429446,Oslo Rygge,Q20,Norway,Q486696,Rygge,59.378888888889,10.785555555556,RYG,ENRY,Q109021,Moss,59.43403,10.65771,NA,
Q729886,Trondheim Airport,Q20,Norway,Q217802,Stjørdal,63.4575,10.924166666667,TRD,ENVA,Q25804,Trondheim,63.44,10.4,NA,
Q1355258,Stavanger Airport,Q20,Norway,Q488948,Sola,58.876666666667,5.6377777777778,SVG,ENZV,Q25416,Stavanger,58.97,5.71,NA,
Q11764576,Kołobrzeg-Bagicz,Q36,Poland,Q4841933,Bagicz,54.2002,15.6842,NA,EPKG,NA,NA,NA,NA,NA,
Q10687975,Scandinavian Mountains Airport,Q34,Sweden,Q504266,Malung-Sälen Municipality,61.159,12.84,SCR,ESKS,Q1011739,Sälen,61.155780905679,13.267953596198,NA,
Q18292295,Mellingeholm Airport,Q34,Sweden,NA,NA,59.733611,18.698333,NA,ESSN,NA,NA,NA,NA,NA,
Q322119,Nordholz Naval Airbase,Q183,Germany,Q2595304,Wurster Nordseeküste,53.7672,8.65861,NDZ,ETMN,NA,NA,NA,NA,NA,
Q329095,"NATO Air Base Geilenkirchen",Q183,Germany,Q204793,Gangelt,50.960833333333,6.0425,GKE,ETNG,NA,NA,NA,NA,NA,
Q598282,Bloemfontein Airport,Q258,South Africa,Q37701,Bloemfontein,-29.093888888889,26.303888888889,BFN,FABL,Q37701,Bloemfontein,-29.1,26.216666666667,NA,
Q1266839,Durban International Airport,Q258,South Africa,Q81725,KwaZulu-Natal,-29.968611111111,30.947777777778,DUR,FADN,Q5468,Durban,-29.858333333333,31.025,NA,
Q31917232,Giyani Airport,Q258,South Africa,Q134907,Limpopo,-23.2833,30.65,GIY,FAGI,NA,NA,NA,NA,NA,
Q1432442,Chief Dawid Stuurman International Airport,Q258,South Africa,Q130840,Eastern Cape,-33.99,25.610278,PLZ,FAPE,Q125434,Port Elizabeth,-33.958055555556,25.6,NA,
Q4651421,AFB Swartkop,Q258,South Africa,Q1054450,Centurion,-25.806944444444,28.164444444444,NA,FASK,NA,NA,NA,NA,NA,
Q7234143,Poste Airport,Q929,Central African Republic,Q848578,Haut-Mbomou Prefecture,5.4038888888889,26.486944444444,NA,FEFB,Q1025617,Obo,5.3966666666667,26.4925,NA,
Q4914026,Bindja Airport,Q974,Democratic Republic of the Congo,NA,NA,-3.38333333,19.65972222,NA,FZBQ,NA,NA,NA,NA,NA,
Q2784942,Basango Mboliasa Airport,Q974,Democratic Republic of the Congo,Q671442,Bandundu Province,-1.45,19,KRZ,FZBT,Q15238576,"Kiri, Democratic Republic of the Congo",-1.435,19.024,NA,
Q3084809,Idiofa Airport,Q974,Democratic Republic of the Congo,Q2594467,Idiofa,-5,19.6,IDF,FZCB,NA,NA,NA,NA,NA,
Q6346911,Kahemba Airport,Q974,Democratic Republic of the Congo,Q671442,Bandundu Province,-7.3333333333333,19.016666666667,NA,FZCF,Q3191881,Kahemba Territory,-7.3,19,NA,
Q12693232,Kajiji Airport,Q974,Democratic Republic of the Congo,NA,NA,-7.616667,18.55,NA,FZCK,NA,NA,NA,NA,NA,
Q15054034,Bokela Airport,Q974,Democratic Republic of the Congo,NA,NA,-1.15,21.9,NA,FZDR,NA,NA,NA,NA,NA,
Q106927543,Bokoro Airport,Q974,Democratic Republic of the Congo,Q1163429,Mai-Ndombe Province,12.3830555555556,17.0669444444444,BKR,FZFE,NA,NA,NA,NA,NA,
Q20458416,Kamisuku Airport,Q974,Democratic Republic of the Congo,NA,NA,-2.55,26.616667,NA,FZOC,Q1103496,Kalima,-2.5666666666667,26.616666666667,NA,
Q12693245,Kalima Airport,Q974,Democratic Republic of the Congo,NA,NA,-2.583333,26.733333,KLY,FZOD,Q1103496,Kalima,-2.5666666666667,26.616666666667,NA,
Q21974287,Kamituga Airport,Q974,Democratic Republic of the Congo,NA,NA,-3.04583333,28.16805556,NA,FZPB,NA,NA,NA,NA,NA,
Q12692416,Dekese Airport,Q974,Democratic Republic of the Congo,NA,NA,-3.466667,21.433333,NA,FZVT,Q3021388,Dekese,-3.45,21.38333333,NA,
Q15054032,Bibanga Airport,Q974,Democratic Republic of the Congo,NA,NA,-6.25,23.98333333,NA,FZWB,NA,NA,NA,NA,NA,
Q2876099,Kenitra Air Base,Q1028,Morocco,Q478207,Kenitra,34.298888888889,-6.5958333333333,NNA,GMMY,Q478207,Kenitra,34.25,-6.5833333333333,NA,
Q24032923,Kelafo East Airport,Q115,Ethiopia,NA,NA,5.657,44.35,LFO,HAKL,NA,NA,NA,NA,NA,
Q28716933,Capital International Airport (Egypt),Q79,Egypt,Q85,Cairo,30.0739194,31.8430074,CCE,HECP,NA,NA,NA,NA,NA,
Q651210,Massawa International Airport,Q986,Eritrea,Q986,Eritrea,15.671138,39.368,MSW,HHMS,Q275635,Massawa,15.6,39.433333333333,NA,
Q45000,Mitiga International Airport,Q1016,Libya,Q3579,Tripoli,32.894445,13.277778,MJI,HLLM,Q3579,Tripoli,32.87519,13.18746,NA,
Q1430913,Austin-Bergstrom International Airport,Q30,United States of America,Q16559,Austin,30.194444444444,-97.67,AUS,KAUS,Q5600444,Greater Austin,30.25,-97.75,NA,
Q576617,Scott Air Force Base,Q30,United States of America,Q1204,Illinois,38.545177777778,-89.835183333333,BLV,KBLV,NA,NA,NA,NA,NA,
Q1636887,Westover Air Reserve Base,Q30,United States of America,Q771,Massachusetts,42.1939,-72.5347,CEF,KCEF,NA,NA,NA,NA,NA,
Q330015,Denver International Airport,Q30,United States of America,Q16554,Denver,39.861666666667,-104.67305555556,DEN,KDEN,Q16554,Denver,39.739166666667,-104.98472222222,NA,
Q1431204,Des Moines International Airport,Q30,United States of America,Q1546,Iowa,41.533888888889,-93.663055555556,DSM,KDSM,Q39709,Des Moines,41.590833333333,-93.620833333333,NA,
Q1656133,Demopolis Municipal Airport,Q30,United States of America,Q173,Alabama,32.4639,-87.9542,NA,KDYA,Q79391,Demopolis,32.509444444444,-87.837222222222,NA,
Q841771,Ellington International Airport,Q30,United States of America,Q26676,Harris County,29.6072,-95.1589,EFD,KEFD,Q16555,Houston,29.762777777778,-95.383055555556,NA,
Q2699491,Hector International Airport,Q30,United States of America,Q34109,Fargo,46.920555555556,-96.815833333333,FAR,KFAR,Q34109,Fargo,46.877222222222,-96.789444444444,NA,
Q6407413,Killeen–Fort Hood Regional Airport,Q30,United States of America,Q1439,Texas,31.067222222222,-97.828888888889,GRK,KGRK,NA,NA,NA,NA,NA,
Q1320543,Valley International Airport,Q30,United States of America,Q1439,Texas,26.227222222222,-97.655,HRL,KHRL,Q868869,Harlingen,26.2,-97.7,NA,
Q2876019,New Castle Airport,Q30,United States of America,Q1393,Delaware,39.6786,-75.6067,ILG,KILG,Q174224,Wilmington,39.748333333333,-75.551388888889,NA,
Q1432595,Rickenbacker International Airport,Q30,United States of America,Q1397,Ohio,39.813888888889,-82.927777777778,LCK,KLCK,Q16567,Columbus,39.9622222222222,-83.0005555555556,NA,
Q650056,Langley Field,Q30,United States of America,Q1370,Virginia,37.0828,-76.3606,LFI,KLFI,Q342043,Hampton,37.034946,-76.360126,NA,
Q6413305,Kingsley Field Air National Guard Base,Q30,United States of America,Q824,Oregon,42.1561,-121.733,LMT,KLMT,NA,NA,NA,NA,NA,
Q651920,Meridian Regional Airport,Q30,United States of America,Q118152,Meridian,32.337222,-88.7425,MEI,KMEI,Q118152,Meridian,32.374722222222,-88.704166666667,NA,
Q1962553,Castle Airport,Q30,United States of America,Q99,California,37.380555555556,-120.56805555556,MER,KMER,NA,NA,NA,NA,NA,
Q1655754,Dobbins Air Reserve Base,Q30,United States of America,Q1428,Georgia,33.9153,-84.5164,MGE,KMGE,"NA",NA,NA,NA,NA,
Q1030802,Maple Lake Municipal Airport,Q30,United States of America,Q1003864,Maple Lake,45.236111111111,-93.985555555556,NA,KMGG,Q1003864,Maple Lake,45.22913,-94.00192,NA,
Q3612693,Montgomery Air National Guard Base,Q30,United States of America,Q173,Alabama,32.3006,-86.3939,MGM,KMGM,NA,NA,NA,NA,NA,
Q180129,Manchester–Boston Regional Airport,Q30,United States of America,Q759,New Hampshire,42.9325,-71.435555555556,MHT,KMHT,Q48370,Manchester,42.990833333333,-71.463611111111,NA,
Q761001,Shepherd Field Air National Guard Base,Q30,United States of America,Q1371,West Virginia,39.4019,-77.9844,MRB,KMRB,NA,NA,NA,NA,NA,
Q652112,Martin State Airport,Q30,United States of America,Q488668,Baltimore County,39.3256,-76.4139,MTN,KMTN,Q5092,Baltimore,39.286388888889,-76.615,NA,
Q3913646,Grant County International Airport,Q30,United States of America,Q1223,Washington,47.2086,-119.319,MWH,KMWH,Q1065526,Moses Lake,47.1211,-119.288,NA,
Q3565276,Naval Air Station Whiting Field – South,Q30,United States of America,Q494500,Santa Rosa County,30.704444444444,-87.023055555556,"NA",KNFJ,NA,NA,NA,NA,NA,
Q29034110,Naval Station Norfolk Chambers Field,Q30,United States of America,Q49231,Norfolk,36.945,-76.31333333,NGU,KNGU,NA,NA,NA,NA,NA,
Q17082712,Naval Base Ventura County,Q30,United States of America,Q99,California,34.12027778,-119.1211111,NTD,KNTD,NA,NA,NA,NA,NA,
Q1030442,Marine Corps Air Station Yuma,Q30,United States of America,Q79820,Yuma,32.656666666667,-114.60611111111,YUM,KNYL,NA,NA,NA,NA,NA,
Q7272858,Quonset State Airport,Q30,United States of America,Q1387,Rhode Island,41.597222222222,-71.412222222222,OQU,KOQU,Q2000741,North Kingstown,41.580555555556,-71.453888888889,NA,
Q2876075,Plattsburgh International Airport,Q30,United States of America,Q1384,New York,44.650833333333,-73.468055555556,PBG,KPBG,Q998669,Plattsburgh,44.695277777778,-73.458333333333,NA,
Q7231412,Portage Creek Airport,Q30,United States of America,Q797,Alaska,58.9064,-157.711,PCA,KPCA,Q538089,Portage Creek,58.906088,-157.716758,NA,
Q3536562,Carlos Miguel Jiménez Airport,Q733,Paraguay,Q755115,Ñeembucú Department,-26.881388888889,-58.317777777778,PIL,KPIL,Q755115,Ñeembucú Department,-26.66667,-57.91667,NA,
Q1421504,Pittsburgh International Airport,Q30,United States of America,Q1771026,Moon Township,40.495997,-80.256693,PIT,KPIT,Q1342,Pittsburgh,40.4416666666667,-80,NA,
Q2828202,Air Force Plant 42,Q30,United States of America,Q488940,Palmdale,34.63,-118.08444444444,PMD,KPMD,NA,NA,NA,NA,NA,
Q1246941,Pope Army Airfield,Q30,United States of America,Q1454,North Carolina,35.170833333333,-79.014444444444,POB,KPOB,NA,NA,NA,NA,NA,
Q6587102,Portsmouth International Airport at Pease,Q30,United States of America,Q759,New Hampshire,43.078055555556,-70.823333333333,PSM,KPSM,Q49191,Portsmouth,43.07572,-70.76075,NA,
Q1432789,Savannah/Hilton Head International Airport,Q30,United States of America,Q1428,Georgia,32.1275,-81.202222222222,SAV,KSAV,Q83813,Savannah,32.050833333333,-81.103888888889,NA,
Q7580923,Springfield-Beckley Municipal Airport,Q30,United States of America,Q1397,Ohio,39.840277777778,-83.840277777778,SGH,KSGH,Q40325,Springfield,39.926944444444,-83.804166666667,NA,
Q3545151,St. George Regional Airport,Q30,United States of America,Q27240,Washington County,37.0364,-113.51,SGU,KSGU,Q52472,St. George,37.095277777778,-113.57805555556,NA,
Q1416857,Lackland Air Force Base,Q30,United States of America,Q16861,Bexar County,29.384166666667,-98.581111111111,SKF,KSKF,NA,NA,NA,NA,NA,
Q176146,Sheppard Air Force Base,Q30,United States of America,Q1439,Texas,33.9889,-98.4919,SPS,KSPS,Q128349,Wichita Falls,33.896944444444,-98.515,NA,
Q7368132,Rosecrans Air National Guard Base,Q30,United States of America,Q1581,Missouri,39.7719,-94.9094,STJ,KSTJ,NA,NA,NA,NA,NA,
Q649929,McGhee Tyson Air National Guard Base,Q30,United States of America,Q1509,Tennessee,35.810833333333,-83.993888888889,TYS,KTYS,NA,NA,NA,NA,NA,
Q1298115,Eglin Air Force Base,Q30,United States of America,Q494476,Okaloosa County,30.489444444444,-86.542222222222,VPS,KVPS,Q984368,Fort Walton Beach,30.420277777778,-86.616666666667,NA,
Q182348,Wallops Flight Facility,Q30,United States of America,Q1073686,Chincoteague,37.938611111111,-75.457222222222,WAL,KWAL,NA,NA,NA,NA,NA,
Q8058641,Youngstown-Warren Air Reserve Station,Q30,United States of America,Q1397,Ohio,41.2607,-80.6791,YNG,KYNG,NA,NA,NA,NA,NA,
Q7939089,Vlorë Air Base,Q222,Albania,Q192849,Vlorë County,40.4766,19.474,NA,LAVL,Q159610,Vlorë,40.45,19.483333333333,NA,
Q127951,Sofia Airport,Q219,Bulgaria,Q4442915,Sofia Capital Municipality,42.695,23.408333333333,SOF,LBSF,Q472,Sofia,42.697886,23.321726,NA,
Q12694631,NA,Q219,Bulgaria,NA,NA,42.44425,22.9835,NA,LBSW,NA,NA,NA,NA,NA,
Q1432185,Nicosia International Airport,Q229,Cyprus,Q3856,Nicosia,35.15,33.277222222222,NIC,LCNC,Q3856,Nicosia,35.1725,33.365,NA,
Q128016,Zagreb Airport,Q224,Croatia,Q331141,Velika Gorica,45.743055555556,16.068888888889,ZAG,LDZA,Q1435,Zagreb,45.8130555555556,15.9772222222222,NA,
Q660972,Los Llanos Airbase,Q29,Spain,Q15095,Albacete,38.948611111111,-1.8633333333333,ABC,LEAB,NA,NA,NA,NA,NA,
Q695127,Badajoz Airport,Q29,Spain,Q15679,Badajoz,38.891388888889,-6.8213888888889,BJZ,LEBZ,Q15679,Badajoz,38.880277777778,-6.9752777777778,NA,
Q836666,León Airport,Q29,Spain,Q71140,León Province,42.588888888889,-5.6555555555556,LEN,LELN,Q15699,León,42.598888888889,-5.5669444444444,NA,
Q1432777,Santiago–Rosalía de Castro Airport,Q29,Spain,Q14314,Santiago de Compostela,42.896333,-8.415145,SCQ,LEST,Q3908,Galicia,42.755,-7.86611111111111,NA,
Q492694,Madrid-Torrejón Airport,Q29,Spain,Q489839,Quelzaquetenago,40.496666666667,-3.4458333333333,TOJ,LETO,Q2807,Madrid,40.418888888889,-3.6919444444444,NA,
Q704823,Zaragoza Airport,Q29,Spain,Q10305,Zaragoza,41.666111111111,-1.0416666666667,ZAZ,LEZG,Q10305,Zaragoza,41.65,-0.88333333333333,NA,
Q612731,Bordeaux–Mérignac Airport,Q142,France,Q205551,Mérignac,44.828333,-0.715556,BOD,LFBD,Q1479,Bordeaux,44.837777777778,-0.57944444444444,NA,
Q1655761,Cognac-Châteaubernard Air Base,Q142,France,Q748701,Châteaubernard,45.65833333,-0.3175,CNG,LFBG,Q285,Cognac,45.695833333333,-0.32916666666667,NA,
Q1432335,Pau Pyrénées Airport,Q142,France,Q197376,Uzein,43.38,-0.41861111111111,PUF,LFBP,Q132671,Pau,43.300833333333,-0.37,NA,
Q2875900,Rochefort – Saint-Agnant Airport,Q142,France,NA,NA,45.8894,-0.982633,RCO,LFDN,Q207587,Rochefort,45.941944444444,-0.96694444444444,NA,
Q1431087,"Châteauroux-Centre ""Marcel Dassault"" Airport",Q142,France,Q473103,Déols,46.860277777778,1.7211111111111,CHR,LFLX,Q174251,Châteauroux,46.809722222222,1.6902777777778,NA,
Q18214069,Aix-Les-Milles Air Base,Q142,France,Q47465,Aix-en-Provence,43.504,5.36841,QXB,LFMA,NA,NA,NA,NA,NA,
Q1837108,Châlons Vatry Airport,Q142,France,Q686385,Vatry,48.777777777778,4.1916666666667,XCR,LFOK,Q47135,Châlons-en-Champagne,48.956666666667,4.3644444444444,NA,
Q22683724,NA,Q142,France,NA,NA,48.457,1.521,QTJ,LFOR,NA,NA,NA,NA,NA,
Q1433087,Tours Val de Loire Airport,Q142,France,Q288,Tours,47.431944444444,0.72305555555556,TUF,LFOT,Q288,Tours,47.392777777778,0.68833333333333,NA,
Q1431937,Lorient South Brittany Airport,Q142,France,Q128369,Ploemeur,47.760555555556,-3.44,LRT,LFRH,Q71724,Lorient,47.745833333333,-3.3663888888889,NA,
Q247165,Brive – Souillac Airport,Q142,France,Q199148,Nespouls,45.03972222,1.48555556,BVE,LFSL,Q6393,Brive-la-Gaillarde,45.158888888889,1.5330555555556,NA,
Q1165367,Strasbourg Airport,Q142,France,Q22438,Entzheim,48.541944,7.634444,SXB,LFST,Q6602,Strasbourg,48.573333333333,7.7522222222222,NA,
Q543189,Toulon-Hyères Airport,Q142,France,Q192574,Hyères,43.097222222222,6.1461111111111,TLN,LFTH,Q44160,Toulon,43.125,5.9305555555556,NA,
Q1432215,Nîmes-Alès-Camargue-Cévennes Airport,Q142,France,Q243024,Saint-Gilles,43.7575,4.4163888888889,FNI,LFTW,Q42807,Nîmes,43.836944444444,4.36,NA,
Q2875364,Ambérieu-en-Bugey Air Base,Q142,France,NA,NA,45.9797,5.33778,NA,LFXA,NA,NA,NA,NA,NA,
Q2875520,NA,Q142,France,Q12730,Haute-Saône,47.7058,6.55167,NA,LFYL,NA,NA,NA,NA,NA,
Q12693532,NA,Q41,Greece,NA,NA,38.8745616666667,22.4349716666667,NA,LG53,NA,NA,NA,NA,NA,
